GUID 6eb0cca2edaa4f569e4809fdad842610
Type Storage
Rarity Epic
Useable Barricade
Build Storage
ID 17605

Size_X 2
Size_Y 3
Size_Z 0.5

Health 300
Range 4
Radius 0.5
Offset 0.75

Storage_X 4
Storage_Y 6

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Asset_Bundle_Version 2
