GUID a89387711bf7444981abb6b3c109d8b2
Type Barricade
Rarity Epic
Useable Barricade
Build Barricade
ID 17667

Size_X 2
Size_Y 1
Size_Z 0.3

Health 100
Range 4
Radius 0.25
Offset 0.3

Explosion 74
Vulnerable
Unrepairable

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 72
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Supply_2_ID 75
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Asset_Bundle_Version 2
