GUID 79b42c4f07c74a92a1294d12c8cad370
Type Storage
Rarity Rare
Useable Barricade
Build Storage
ID 17601

Size_X 2
Size_Y 2
Size_Z 0.5

Health 200
Range 4
Offset 0.25

Storage_X 4
Storage_Y 3

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Asset_Bundle_Version 2
