GUID 96c012c92bdf4f71919ac4a201ae8030
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 27115

Size_X 5
Size_Y 2
Size_Z 0.45
Size2_Z 0.9

Sight 27117
Magazine 27116

Hook_Barrel
Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 7

Safety
Semi

Attachment_Calibers 1
Attachment_Caliber_0 9

Magazine_Calibers 1
Magazine_Caliber_0 2705

Range 300
Firerate 50
Action Bolt

Player_Damage 85
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1
Instakill_Headshots True

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 85
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 35
Resource_Damage 20
Object_Damage 25

Durability 1

Ballistic_Steps 20
Ballistic_Travel 15

Spread_Aim 0.002
Spread_Hip 0.4

Recoil_Aim 0.5
Recoil_Min_X -7
Recoil_Min_Y 15
Recoil_Max_X 7
Recoil_Max_Y 20

Recover_X 0.4
Recover_Y 0.4

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27115
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
