GUID 5f1e144f5c6a4d1cb9441382762ebde3
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 27178

Size_X 5
Size_Y 2
Size_Z 0.36
Size2_Z 0.66

Sight 27180
Magazine 27179

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 5
Ammo_Max 20

Safety
Semi
Auto

Attachment_Calibers 1
Attachment_Caliber_0 1

Magazine_Calibers 1
Magazine_Caliber_0 2723

Range 230
Firerate 5
Action Trigger

Player_Damage 60
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 120
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 60
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Invulnerable

Barricade_Damage 25
Structure_Damage 25
Vehicle_Damage 40
Resource_Damage 30
Object_Damage 35

Durability 0.27

Spread_Aim 0.02
Spread_Hip 0.25

Recoil_Aim 7
Recoil_Min_X -3
Recoil_Min_Y 5
Recoil_Max_X 2
Recoil_Max_Y 6

Recover_X 0.5
Recover_Y 0.4

Shake_Min_X -0.0035
Shake_Min_Y 0.0035
Shake_Min_Z -0.015
Shake_Max_X 0.0035
Shake_Max_Y -0.0035
Shake_Max_Z -0.023

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27178
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 4
Blueprint_1_Output_1_ID 61
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 27
