GUID ced929a82ad54f6da499979d644c2e99
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 27186

Size_X 4
Size_Y 2
Size_Z 0.35
Size2_Z 0.55

Sight 27188
Magazine 27187

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 5
Ammo_Max 12

Safety
Auto

Caliber 2725

Range 30
Firerate 8
Action Trigger

Player_Damage 35
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 35
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 35
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 8
Structure_Damage 5
Vehicle_Damage 8
Resource_Damage 8
Object_Damage 8

Durability 0.35

Spread_Aim 0.75
Spread_Hip 0.12

Ballistic_Steps 1

Recoil_Min_X -1.5
Recoil_Min_Y 3
Recoil_Max_X 1.5
Recoil_Max_Y 4

Recover_X 0.2
Recover_Y 0.2

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4
Shell 33

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27186
Blueprint_1_Product 67
Blueprint_1_Products 4
Blueprint_1_Build 27
