GUID 622ef344d1f04f9fb3cecdb471bb02fc

Type Melee
Useable Melee
Slot Secondary
Rarity Mythical
ID 40074

Size_X 3
Size_Y 2
Size_Z 0.5
Size2_Z 0.55

Range 2
Strong 0.375
Strength 1.5
Stamina 20

Player_Damage 100
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0.2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 40072
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 40073
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Tool 76
Blueprint_1_Level 3
Blueprint_1_Skill Craft
Blueprint_1_Build 27

AttackAudioClip Sounds/MeleeAttack_01.mp3

Exclude_From_Master_Bundle
