GUID 0fd787ad97c74535a65f1d7fb57134ff
Type Supply
Rarity Common
ID 34999

Size_X 1
Size_Y 1
Size_Z 0.15

Blueprints 84
Blueprint_0_Type Apparel
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 34016
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Product 34019
Blueprint_0_Products 1
Blueprint_0_Build 32
Blueprint_1_Type Apparel
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 34017
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Product 34020
Blueprint_1_Products 1
Blueprint_1_Build 32
Blueprint_2_Type Apparel
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 34018
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Product 34021
Blueprint_2_Products 1
Blueprint_2_Build 32
Blueprint_3_Type Apparel
Blueprint_3_Supplies 2
Blueprint_3_Supply_0_ID 34016
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Supply_1_ID 66
Blueprint_3_Supply_1_Amount 2
Blueprint_3_Product 34022
Blueprint_3_Products 1
Blueprint_3_Tool 34108
Blueprint_3_Level 2
Blueprint_3_Skill Craft
Blueprint_3_Build 32
Blueprint_4_Type Apparel
Blueprint_4_Supplies 2
Blueprint_4_Supply_0_ID 34017
Blueprint_4_Supply_0_Amount 1
Blueprint_4_Supply_1_ID 66
Blueprint_4_Supply_1_Amount 2
Blueprint_4_Product 34023
Blueprint_4_Products 1
Blueprint_4_Tool 34108
Blueprint_4_Level 2
Blueprint_4_Skill Craft
Blueprint_4_Build 32
Blueprint_5_Type Apparel
Blueprint_5_Supplies 2
Blueprint_5_Supply_0_ID 34018
Blueprint_5_Supply_0_Amount 1
Blueprint_5_Supply_1_ID 66
Blueprint_5_Supply_1_Amount 2
Blueprint_5_Product 34024
Blueprint_5_Products 1
Blueprint_5_Tool 34108
Blueprint_5_Level 2
Blueprint_5_Skill Craft
Blueprint_5_Build 32
Blueprint_6_Type Apparel
Blueprint_6_Supplies 2
Blueprint_6_Supply_0_ID 34019
Blueprint_6_Supply_0_Amount 1
Blueprint_6_Supply_1_ID 66
Blueprint_6_Supply_1_Amount 2
Blueprint_6_Product 34025
Blueprint_6_Products 1
Blueprint_6_Tool 34108
Blueprint_6_Level 2
Blueprint_6_Skill Craft
Blueprint_6_Build 32
Blueprint_7_Type Apparel
Blueprint_7_Supplies 2
Blueprint_7_Supply_0_ID 34020
Blueprint_7_Supply_0_Amount 1
Blueprint_7_Supply_1_ID 66
Blueprint_7_Supply_1_Amount 2
Blueprint_7_Product 34026
Blueprint_7_Products 1
Blueprint_7_Tool 34108
Blueprint_7_Level 2
Blueprint_7_Skill Craft
Blueprint_7_Build 32
Blueprint_8_Type Apparel
Blueprint_8_Supplies 2
Blueprint_8_Supply_0_ID 34021
Blueprint_8_Supply_0_Amount 1
Blueprint_8_Supply_1_ID 66
Blueprint_8_Supply_1_Amount 2
Blueprint_8_Product 34027
Blueprint_8_Products 1
Blueprint_8_Tool 34108
Blueprint_8_Level 2
Blueprint_8_Skill Craft
Blueprint_8_Build 32
Blueprint_9_Type Apparel
Blueprint_9_Supplies 2
Blueprint_9_Supply_0_ID 34028
Blueprint_9_Supply_0_Amount 1
Blueprint_9_Supply_1_ID 66
Blueprint_9_Supply_1_Amount 2
Blueprint_9_Product 34031
Blueprint_9_Products 1
Blueprint_9_Tool 34108
Blueprint_9_Level 2
Blueprint_9_Skill Craft
Blueprint_9_Build 32
Blueprint_10_Type Apparel
Blueprint_10_Supplies 2
Blueprint_10_Supply_0_ID 34029
Blueprint_10_Supply_0_Amount 1
Blueprint_10_Supply_1_ID 66
Blueprint_10_Supply_1_Amount 2
Blueprint_10_Product 34032
Blueprint_10_Products 1
Blueprint_10_Tool 34108
Blueprint_10_Level 2
Blueprint_10_Skill Craft
Blueprint_10_Build 32
Blueprint_11_Type Apparel
Blueprint_11_Supplies 2
Blueprint_11_Supply_0_ID 34030
Blueprint_11_Supply_0_Amount 1
Blueprint_11_Supply_1_ID 66
Blueprint_11_Supply_1_Amount 2
Blueprint_11_Product 34033
Blueprint_11_Products 1
Blueprint_11_Tool 34108
Blueprint_11_Level 2
Blueprint_11_Skill Craft
Blueprint_11_Build 32
Blueprint_12_Type Apparel
Blueprint_12_Supplies 2
Blueprint_12_Supply_0_ID 34000
Blueprint_12_Supply_0_Amount 1
Blueprint_12_Supply_1_ID 66
Blueprint_12_Supply_1_Amount 2
Blueprint_12_Product 34003
Blueprint_12_Products 1
Blueprint_12_Tool 34108
Blueprint_12_Level 2
Blueprint_12_Skill Craft
Blueprint_12_Build 32
Blueprint_13_Type Apparel
Blueprint_13_Supplies 2
Blueprint_13_Supply_0_ID 34001
Blueprint_13_Supply_0_Amount 1
Blueprint_13_Supply_1_ID 66
Blueprint_13_Supply_1_Amount 2
Blueprint_13_Product 34004
Blueprint_13_Products 1
Blueprint_13_Tool 34108
Blueprint_13_Level 2
Blueprint_13_Skill Craft
Blueprint_13_Build 32
Blueprint_14_Type Apparel
Blueprint_14_Supplies 2
Blueprint_14_Supply_0_ID 34002
Blueprint_14_Supply_0_Amount 1
Blueprint_14_Supply_1_ID 66
Blueprint_14_Supply_1_Amount 2
Blueprint_14_Product 34005
Blueprint_14_Products 1
Blueprint_14_Tool 34108
Blueprint_14_Level 2
Blueprint_14_Skill Craft
Blueprint_14_Build 32
Blueprint_15_Type Apparel
Blueprint_15_Supplies 2
Blueprint_15_Supply_0_ID 34006
Blueprint_15_Supply_0_Amount 1
Blueprint_15_Supply_1_ID 66
Blueprint_15_Supply_1_Amount 2
Blueprint_15_Product 34008
Blueprint_15_Products 1
Blueprint_15_Tool 34108
Blueprint_15_Level 2
Blueprint_15_Skill Craft
Blueprint_15_Build 32
Blueprint_16_Type Apparel
Blueprint_16_Supplies 2
Blueprint_16_Supply_0_ID 34007
Blueprint_16_Supply_0_Amount 1
Blueprint_16_Supply_1_ID 66
Blueprint_16_Supply_1_Amount 2
Blueprint_16_Product 34009
Blueprint_16_Products 1
Blueprint_16_Tool 34108
Blueprint_16_Level 2
Blueprint_16_Skill Craft
Blueprint_16_Build 32
Blueprint_17_Type Apparel
Blueprint_17_Supplies 2
Blueprint_17_Supply_0_ID 34034
Blueprint_17_Supply_0_Amount 1
Blueprint_17_Supply_1_ID 66
Blueprint_17_Supply_1_Amount 2
Blueprint_17_Product 34037
Blueprint_17_Products 1
Blueprint_17_Tool 34108
Blueprint_17_Level 2
Blueprint_17_Skill Craft
Blueprint_17_Build 32
Blueprint_18_Type Apparel
Blueprint_18_Supplies 2
Blueprint_18_Supply_0_ID 34035
Blueprint_18_Supply_0_Amount 1
Blueprint_18_Supply_1_ID 66
Blueprint_18_Supply_1_Amount 2
Blueprint_18_Product 34038
Blueprint_18_Products 1
Blueprint_18_Tool 34108
Blueprint_18_Level 2
Blueprint_18_Skill Craft
Blueprint_18_Build 32
Blueprint_19_Type Apparel
Blueprint_19_Supplies 2
Blueprint_19_Supply_0_ID 34036
Blueprint_19_Supply_0_Amount 1
Blueprint_19_Supply_1_ID 66
Blueprint_19_Supply_1_Amount 2
Blueprint_19_Product 34039
Blueprint_19_Products 1
Blueprint_19_Tool 34108
Blueprint_19_Level 2
Blueprint_19_Skill Craft
Blueprint_19_Build 32
Blueprint_20_Type Apparel
Blueprint_20_Supplies 2
Blueprint_20_Supply_0_ID 34040
Blueprint_20_Supply_0_Amount 1
Blueprint_20_Supply_1_ID 66
Blueprint_20_Supply_1_Amount 2
Blueprint_20_Product 34043
Blueprint_20_Products 1
Blueprint_20_Tool 34108
Blueprint_20_Level 2
Blueprint_20_Skill Craft
Blueprint_20_Build 32
Blueprint_21_Type Apparel
Blueprint_21_Supplies 2
Blueprint_21_Supply_0_ID 34041
Blueprint_21_Supply_0_Amount 1
Blueprint_21_Supply_1_ID 66
Blueprint_21_Supply_1_Amount 2
Blueprint_21_Product 34044
Blueprint_21_Products 1
Blueprint_21_Tool 34108
Blueprint_21_Level 2
Blueprint_21_Skill Craft
Blueprint_21_Build 32
Blueprint_22_Type Apparel
Blueprint_22_Supplies 2
Blueprint_22_Supply_0_ID 34042
Blueprint_22_Supply_0_Amount 1
Blueprint_22_Supply_1_ID 66
Blueprint_22_Supply_1_Amount 2
Blueprint_22_Product 34045
Blueprint_22_Products 1
Blueprint_22_Tool 34108
Blueprint_22_Level 2
Blueprint_22_Skill Craft
Blueprint_22_Build 32
Blueprint_23_Type Apparel
Blueprint_23_Supplies 2
Blueprint_23_Supply_0_ID 34046
Blueprint_23_Supply_0_Amount 1
Blueprint_23_Supply_1_ID 34109
Blueprint_23_Supply_1_Amount 1
Blueprint_23_Product 34110
Blueprint_23_Products 1
Blueprint_23_Tool 34108
Blueprint_23_Level 3
Blueprint_23_Skill Craft
Blueprint_23_Build 32
Blueprint_24_Type Apparel
Blueprint_24_Supplies 2
Blueprint_24_Supply_0_ID 34047
Blueprint_24_Supply_0_Amount 1
Blueprint_24_Supply_1_ID 34109
Blueprint_24_Supply_1_Amount 1
Blueprint_24_Product 34114
Blueprint_24_Products 1
