GUID d98b4e40c98747b9aea31c590f5a08c4
Type Spawn
ID 34041

Roots 22
Root_0_Spawn_ID 262
Root_0_Weight 5
Root_1_Spawn_ID 721
Root_1_Weight 5
Root_2_Spawn_ID 279
Root_2_Weight 2
Root_3_Spawn_ID 261
Root_3_Weight 5
Root_4_Spawn_ID 672
Root_4_Weight 2
Root_5_Spawn_ID 394
Root_5_Weight 2
Root_6_Spawn_ID 392
Root_6_Weight 5
Root_7_Spawn_ID 466
Root_7_Weight 2
Root_8_Spawn_ID 476
Root_8_Weight 5
Root_9_Spawn_ID 696
Root_9_Weight 15
Root_10_Spawn_ID 695
Root_10_Weight 12
Root_11_Spawn_ID 698
Root_11_Weight 15
Root_12_Spawn_ID 697
Root_12_Weight 12
Root_13_Spawn_ID 113
Root_13_Weight 15
Root_14_Spawn_ID 132
Root_14_Weight 15
Root_15_Spawn_ID 552
Root_15_Weight 15
Root_16_Spawn_ID 550
Root_16_Weight 12
Root_17_Spawn_ID 556
Root_17_Weight 15
Root_18_Spawn_ID 554
Root_18_Weight 12
Root_19_Spawn_ID 333
Root_19_Weight 15
Root_20_Spawn_ID 346
Root_20_Weight 15
Root_21_Spawn_ID 480
Root_21_Weight 15

Tables 48
Table_0_Asset_ID 34000
Table_0_Weight 10
Table_1_Asset_ID 34001
Table_1_Weight 10
Table_2_Asset_ID 34002
Table_2_Weight 10
Table_3_Asset_ID 34010
Table_3_Weight 10
Table_4_Asset_ID 34011
Table_4_Weight 10
Table_5_Asset_ID 34012
Table_5_Weight 10
Table_6_Asset_ID 34013
Table_6_Weight 10
Table_7_Asset_ID 34014
Table_7_Weight 10
Table_8_Asset_ID 34015
Table_8_Weight 10
Table_9_Asset_ID 34006
Table_9_Weight 2
Table_10_Asset_ID 34007
Table_10_Weight 2
Table_11_Asset_ID 34074
Table_11_Weight 50
Table_12_Asset_ID 34075
Table_12_Weight 50
Table_13_Asset_ID 34076
Table_13_Weight 50
Table_14_Asset_ID 34077
Table_14_Weight 50
Table_15_Asset_ID 34078
Table_15_Weight 50
Table_16_Asset_ID 34164
Table_16_Weight 30
Table_17_Asset_ID 34165
Table_17_Weight 30
Table_18_Asset_ID 34166
Table_18_Weight 30
Table_19_Asset_ID 34167
Table_19_Weight 15
Table_20_Asset_ID 34168
Table_20_Weight 15
Table_21_Asset_ID 34169
Table_21_Weight 15
Table_22_Asset_ID 34170
Table_22_Weight 5
Table_23_Asset_ID 34171
Table_23_Weight 5
Table_24_Asset_ID 34172
Table_24_Weight 5
Table_25_Asset_ID 34191
Table_25_Weight 30
Table_26_Asset_ID 34192
Table_26_Weight 30
Table_27_Asset_ID 34193
Table_27_Weight 30
Table_28_Asset_ID 34194
Table_28_Weight 15
Table_29_Asset_ID 34195
Table_29_Weight 15
Table_30_Asset_ID 34196
Table_30_Weight 15
Table_31_Asset_ID 34197
Table_31_Weight 5
Table_32_Asset_ID 34198
Table_32_Weight 5
Table_33_Asset_ID 34199
Table_33_Weight 5
Table_34_Asset_ID 34200
Table_34_Weight 15
Table_35_Asset_ID 34201
Table_35_Weight 15
Table_36_Asset_ID 34202
Table_36_Weight 15
Table_37_Asset_ID 34212
Table_37_Weight 20
Table_38_Asset_ID 34213
Table_38_Weight 20
Table_39_Asset_ID 34214
Table_39_Weight 20
Table_40_Asset_ID 34215
Table_40_Weight 20
Table_41_Asset_ID 34253
Table_41_Weight 40
Table_42_Asset_ID 34254
Table_42_Weight 40
Table_43_Asset_ID 34255
Table_43_Weight 40
Table_44_Asset_ID 34256
Table_44_Weight 40
Table_45_Asset_ID 34257
Table_45_Weight 40
Table_46_Asset_ID 34258
Table_46_Weight 40
Table_47_Asset_ID 34262
Table_47_Weight 30
