GUID d44fb285c8844445905a1c4c6fb9d6e3
Type Spawn
ID 34042

Roots 9
Root_0_Spawn_ID 262
Root_0_Weight 5
Root_1_Spawn_ID 721
Root_1_Weight 5
Root_2_Spawn_ID 279
Root_2_Weight 2
Root_3_Spawn_ID 261
Root_3_Weight 5
Root_4_Spawn_ID 672
Root_4_Weight 2
Root_5_Spawn_ID 394
Root_5_Weight 2
Root_6_Spawn_ID 392
Root_6_Weight 5
Root_7_Spawn_ID 466
Root_7_Weight 2
Root_8_Spawn_ID 476
Root_8_Weight 5

Tables 31
Table_0_Asset_ID 34216
Table_0_Weight 60
Table_1_Asset_ID 34219
Table_1_Weight 60
Table_2_Asset_ID 34218
Table_2_Weight 60
Table_3_Asset_ID 34217
Table_3_Weight 60
Table_4_Asset_ID 34220
Table_4_Weight 60
Table_5_Asset_ID 34250
Table_5_Weight 50
Table_6_Asset_ID 34108
Table_6_Weight 50
Table_7_Asset_ID 34178
Table_7_Weight 45
Table_8_Asset_ID 34177
Table_8_Weight 45
Table_9_Asset_ID 34176
Table_9_Weight 45
Table_10_Asset_ID 34174
Table_10_Weight 35
Table_11_Asset_ID 34175
Table_11_Weight 35
Table_12_Asset_ID 34173
Table_12_Weight 35
Table_13_Asset_ID 34221
Table_13_Weight 20
Table_14_Asset_ID 34223
Table_14_Weight 20
Table_15_Asset_ID 34222
Table_15_Weight 20
Table_16_Asset_ID 34210
Table_16_Weight 10
Table_17_Asset_ID 34209
Table_17_Weight 10
Table_18_Asset_ID 34208
Table_18_Weight 10
Table_19_Asset_ID 34206
Table_19_Weight 10
Table_20_Asset_ID 34207
Table_20_Weight 10
Table_21_Asset_ID 34211
Table_21_Weight 10
Table_22_Asset_ID 34180
Table_22_Weight 10
Table_23_Asset_ID 34181
Table_23_Weight 10
Table_24_Asset_ID 34203
Table_24_Weight 10
Table_25_Asset_ID 34204
Table_25_Weight 10
Table_26_Asset_ID 34205
Table_26_Weight 10
Table_27_Asset_ID 34179
Table_27_Weight 10
Table_28_Asset_ID 34183
Table_28_Weight 2
Table_29_Asset_ID 34184
Table_29_Weight 2
Table_30_Asset_ID 34182
Table_30_Weight 2
