GUID 914c313d0f764de1bb30ed966725a337
Type Spawn
ID 34049

Roots 3
Root_0_Spawn_ID 556
Root_0_Weight 5
Root_1_Spawn_ID 554
Root_1_Weight 5
Root_2_Spawn_ID 346
Root_2_Weight 5

Tables 48
Table_0_Asset_ID 34110
Table_0_Weight 50
Table_1_Asset_ID 34130
Table_1_Weight 50
Table_2_Asset_ID 34122
Table_2_Weight 50
Table_3_Asset_ID 34154
Table_3_Weight 50
Table_4_Asset_ID 34134
Table_4_Weight 50
Table_5_Asset_ID 34118
Table_5_Weight 50
Table_6_Asset_ID 34126
Table_6_Weight 50
Table_7_Asset_ID 34138
Table_7_Weight 50
Table_8_Asset_ID 34114
Table_8_Weight 50
Table_9_Asset_ID 34142
Table_9_Weight 50
Table_10_Asset_ID 34146
Table_10_Weight 50
Table_11_Asset_ID 34150
Table_11_Weight 50
Table_12_Asset_ID 34135
Table_12_Weight 20
Table_13_Asset_ID 34139
Table_13_Weight 20
Table_14_Asset_ID 34147
Table_14_Weight 20
Table_15_Asset_ID 34143
Table_15_Weight 20
Table_16_Asset_ID 34131
Table_16_Weight 20
Table_17_Asset_ID 34151
Table_17_Weight 20
Table_18_Asset_ID 34119
Table_18_Weight 20
Table_19_Asset_ID 34123
Table_19_Weight 20
Table_20_Asset_ID 34127
Table_20_Weight 20
Table_21_Asset_ID 34111
Table_21_Weight 20
Table_22_Asset_ID 34115
Table_22_Weight 20
Table_23_Asset_ID 34155
Table_23_Weight 20
Table_24_Asset_ID 34144
Table_24_Weight 20
Table_25_Asset_ID 34148
Table_25_Weight 20
Table_26_Asset_ID 34152
Table_26_Weight 5
Table_27_Asset_ID 34140
Table_27_Weight 5
Table_28_Asset_ID 34156
Table_28_Weight 5
Table_29_Asset_ID 34112
Table_29_Weight 5
Table_30_Asset_ID 34136
Table_30_Weight 5
Table_31_Asset_ID 34116
Table_31_Weight 5
Table_32_Asset_ID 34128
Table_32_Weight 5
Table_33_Asset_ID 34132
Table_33_Weight 5
Table_34_Asset_ID 34120
Table_34_Weight 5
Table_35_Asset_ID 34124
Table_35_Weight 5
Table_36_Asset_ID 34117
Table_36_Weight 1
Table_37_Asset_ID 34113
Table_37_Weight 1
Table_38_Asset_ID 34149
Table_38_Weight 1
Table_39_Asset_ID 34153
Table_39_Weight 1
Table_40_Asset_ID 34145
Table_40_Weight 1
Table_41_Asset_ID 34121
Table_41_Weight 1
Table_42_Asset_ID 34125
Table_42_Weight 1
Table_43_Asset_ID 34141
Table_43_Weight 1
Table_44_Asset_ID 34137
Table_44_Weight 1
Table_45_Asset_ID 34133
Table_45_Weight 1
Table_46_Asset_ID 34129
Table_46_Weight 1
Table_47_Asset_ID 34157
Table_47_Weight 1
