GUID 1cab86214d354b97a420a52a500afde5
Type Spawn
ID 34047

Roots 13
Root_0_Spawn_ID 696
Root_0_Weight 15
Root_1_Spawn_ID 695
Root_1_Weight 12
Root_2_Spawn_ID 698
Root_2_Weight 15
Root_3_Spawn_ID 697
Root_3_Weight 12
Root_4_Spawn_ID 113
Root_4_Weight 15
Root_5_Spawn_ID 132
Root_5_Weight 15
Root_6_Spawn_ID 552
Root_6_Weight 15
Root_7_Spawn_ID 550
Root_7_Weight 12
Root_8_Spawn_ID 556
Root_8_Weight 15
Root_9_Spawn_ID 554
Root_9_Weight 12
Root_10_Spawn_ID 333
Root_10_Weight 15
Root_11_Spawn_ID 346
Root_11_Weight 15
Root_12_Spawn_ID 480
Root_12_Weight 15

Tables 74
Table_0_Asset_ID 34036
Table_0_Weight 40
Table_1_Asset_ID 34016
Table_1_Weight 40
Table_2_Asset_ID 34017
Table_2_Weight 40
Table_3_Asset_ID 34018
Table_3_Weight 40
Table_4_Asset_ID 34066
Table_4_Weight 40
Table_5_Asset_ID 34067
Table_5_Weight 40
Table_6_Asset_ID 34068
Table_6_Weight 40
Table_7_Asset_ID 34069
Table_7_Weight 40
Table_8_Asset_ID 34030
Table_8_Weight 40
Table_9_Asset_ID 34035
Table_9_Weight 40
Table_10_Asset_ID 34034
Table_10_Weight 40
Table_11_Asset_ID 34042
Table_11_Weight 40
Table_12_Asset_ID 34041
Table_12_Weight 40
Table_13_Asset_ID 34040
Table_13_Weight 40
Table_14_Asset_ID 34028
Table_14_Weight 40
Table_15_Asset_ID 34029
Table_15_Weight 40
Table_16_Asset_ID 34084
Table_16_Weight 20
Table_17_Asset_ID 34085
Table_17_Weight 20
Table_18_Asset_ID 34086
Table_18_Weight 20
Table_19_Asset_ID 34093
Table_19_Weight 20
Table_20_Asset_ID 34087
Table_20_Weight 20
Table_21_Asset_ID 34088
Table_21_Weight 20
Table_22_Asset_ID 34159
Table_22_Weight 20
Table_23_Asset_ID 34163
Table_23_Weight 20
Table_24_Asset_ID 34187
Table_24_Weight 20
Table_25_Asset_ID 34162
Table_25_Weight 20
Table_26_Asset_ID 34158
Table_26_Weight 20
Table_27_Asset_ID 34161
Table_27_Weight 20
Table_28_Asset_ID 34160
Table_28_Weight 20
Table_29_Asset_ID 34107
Table_29_Weight 20
Table_30_Asset_ID 34092
Table_30_Weight 20
Table_31_Asset_ID 34091
Table_31_Weight 20
Table_32_Asset_ID 34090
Table_32_Weight 20
Table_33_Asset_ID 34189
Table_33_Weight 20
Table_34_Asset_ID 34094
Table_34_Weight 20
Table_35_Asset_ID 34089
Table_35_Weight 20
Table_36_Asset_ID 34095
Table_36_Weight 20
Table_37_Asset_ID 34105
Table_37_Weight 20
Table_38_Asset_ID 34188
Table_38_Weight 20
Table_39_Asset_ID 34190
Table_39_Weight 20
Table_40_Asset_ID 34185
Table_40_Weight 20
Table_41_Asset_ID 34186
Table_41_Weight 20
Table_42_Asset_ID 34106
Table_42_Weight 20
Table_43_Asset_ID 34060
Table_43_Weight 15
Table_44_Asset_ID 34046
Table_44_Weight 15
Table_45_Asset_ID 34054
Table_45_Weight 15
Table_46_Asset_ID 34048
Table_46_Weight 15
Table_47_Asset_ID 34059
Table_47_Weight 15
Table_48_Asset_ID 34050
Table_48_Weight 15
Table_49_Asset_ID 34052
Table_49_Weight 15
Table_50_Asset_ID 34047
Table_50_Weight 15
Table_51_Asset_ID 34051
Table_51_Weight 15
Table_52_Asset_ID 34063
Table_52_Weight 15
Table_53_Asset_ID 34057
Table_53_Weight 15
Table_54_Asset_ID 34064
Table_54_Weight 15
Table_55_Asset_ID 34065
Table_55_Weight 15
Table_56_Asset_ID 34055
Table_56_Weight 15
Table_57_Asset_ID 34053
Table_57_Weight 15
Table_58_Asset_ID 34049
Table_58_Weight 15
Table_59_Asset_ID 34056
Table_59_Weight 15
Table_60_Asset_ID 34061
Table_60_Weight 15
Table_61_Asset_ID 34062
Table_61_Weight 15
Table_62_Asset_ID 34230
Table_62_Weight 10
Table_63_Asset_ID 34228
Table_63_Weight 10
Table_64_Asset_ID 34227
Table_64_Weight 10
Table_65_Asset_ID 34226
Table_65_Weight 10
Table_66_Asset_ID 34225
Table_66_Weight 10
Table_67_Asset_ID 34224
Table_67_Weight 10
Table_68_Asset_ID 34232
Table_68_Weight 7
Table_69_Asset_ID 34234
Table_69_Weight 7
Table_70_Asset_ID 34236
Table_70_Weight 7
Table_71_Asset_ID 34259
Table_71_Weight 40
Table_72_Asset_ID 34260
Table_72_Weight 30
Table_73_Asset_ID 34261
Table_73_Weight 30
