GUID c61ec7555734401d86a6c303a197a409
Type Supply
Rarity Uncommon
ID 33000

Size_X 1
Size_Y 1
Size_Z 0.2

Blueprints 55

Blueprint_0_Type Apparel
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 34003
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 33000
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 34109
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Product 33002
Blueprint_0_Products 1
Blueprint_0_Tool 34108
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_1_Type Apparel
Blueprint_1_Supplies 3
Blueprint_1_Supply_0_ID 34004
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 33000
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Supply_2_ID 34109
Blueprint_1_Supply_2_Amount 1
Blueprint_1_Product 33003
Blueprint_1_Products 1
Blueprint_1_Tool 34108
Blueprint_1_Level 3
Blueprint_1_Skill Craft
Blueprint_2_Type Apparel
Blueprint_2_Supplies 3
Blueprint_2_Supply_0_ID 34005
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_1_ID 33000
Blueprint_2_Supply_1_Amount 1
Blueprint_2_Supply_2_ID 34109
Blueprint_2_Supply_2_Amount 1
Blueprint_2_Product 33004
Blueprint_2_Products 1
Blueprint_2_Tool 34108
Blueprint_2_Level 3
Blueprint_2_Skill Craft
Blueprint_3_Type Apparel
Blueprint_3_Supplies 4
Blueprint_3_Supply_0_ID 34216
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Supply_1_ID 33000
Blueprint_3_Supply_1_Amount 1
Blueprint_3_Supply_2_ID 34109
Blueprint_3_Supply_2_Amount 1
Blueprint_3_Supply_3_ID 66
Blueprint_3_Supply_3_Amount 2
Blueprint_3_Product 33005
Blueprint_3_Products 1
Blueprint_3_Tool 34108
Blueprint_3_Level 3
Blueprint_3_Skill Craft
Blueprint_4_Type Apparel
Blueprint_4_Supplies 4
Blueprint_4_Supply_0_ID 34217
Blueprint_4_Supply_0_Amount 1
Blueprint_4_Supply_1_ID 33000
Blueprint_4_Supply_1_Amount 1
Blueprint_4_Supply_2_ID 34109
Blueprint_4_Supply_2_Amount 1
Blueprint_4_Supply_3_ID 66
