GUID d903c4a290274dabac66d50663e1dad3

Type Storage
Rarity Legendary
Useable Barricade
Build Storage
ID 40071

Size_X 2
Size_Y 2
Size_Z 0.5

Health 1600
Range 4
Radius 0.5
Offset 0.75

Storage_X 8
Storage_Y 12

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 10
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 10
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Armor_Tier High
Should_Close_When_Outside_Range true

Exclude_From_Master_Bundle
