GUID 20ba7d1db15f42d2b7e6a6ad97830689
Type Spawn
ID 57321

Roots 12
Root_0_Spawn_ID 696
Root_0_Weight 15
Root_1_Spawn_ID 695
Root_1_Weight 12
Root_2_Spawn_ID 698
Root_2_Weight 15
Root_3_Spawn_ID 697
Root_3_Weight 12
Root_4_Spawn_ID 113
Root_4_Weight 15
Root_5_Spawn_ID 132
Root_5_Weight 15
Root_6_Spawn_ID 552
Root_6_Weight 15
Root_7_Spawn_ID 550
Root_7_Weight 12
Root_8_Spawn_ID 556
Root_8_Weight 15
Root_9_Spawn_ID 554
Root_9_Weight 12
Root_10_Spawn_ID 333
Root_10_Weight 15
Root_11_Spawn_ID 346
Root_11_Weight 15

Tables 141
Table_0_Asset_ID 37321
Table_0_Weight 20
Table_1_Asset_ID 37415
Table_1_Weight 20
Table_2_Asset_ID 37440
Table_2_Weight 20
Table_3_Asset_ID 37333
Table_3_Weight 20
Table_4_Asset_ID 37554
Table_4_Weight 20
Table_5_Asset_ID 37546
Table_5_Weight 20
Table_6_Asset_ID 37542
Table_6_Weight 20
Table_7_Asset_ID 37540
Table_7_Weight 20
Table_8_Asset_ID 37409
Table_8_Weight 20
Table_9_Asset_ID 37513
Table_9_Weight 20
Table_10_Asset_ID 37512
Table_10_Weight 20
Table_11_Asset_ID 37509
Table_11_Weight 20
Table_12_Asset_ID 37508
Table_12_Weight 20
Table_13_Asset_ID 37507
Table_13_Weight 20
Table_14_Asset_ID 37506
Table_14_Weight 20
Table_15_Asset_ID 37547
Table_15_Weight 20
Table_16_Asset_ID 37548
Table_16_Weight 20
Table_17_Asset_ID 37543
Table_17_Weight 20
Table_18_Asset_ID 37317
Table_18_Weight 20
Table_19_Asset_ID 37552
Table_19_Weight 20
Table_20_Asset_ID 37437
Table_20_Weight 20
Table_21_Asset_ID 37441
Table_21_Weight 20
Table_22_Asset_ID 37550
Table_22_Weight 20
Table_23_Asset_ID 37328
Table_23_Weight 20
Table_24_Asset_ID 37561
Table_24_Weight 20
Table_25_Asset_ID 37436
Table_25_Weight 20
Table_26_Asset_ID 37541
Table_26_Weight 20
Table_27_Asset_ID 37301
Table_27_Weight 20
Table_28_Asset_ID 37300
Table_28_Weight 20
Table_29_Asset_ID 37308
Table_29_Weight 20
Table_30_Asset_ID 37402
Table_30_Weight 20
Table_31_Asset_ID 37302
Table_31_Weight 20
Table_32_Asset_ID 37553
Table_32_Weight 20
Table_33_Asset_ID 37442
Table_33_Weight 20
Table_34_Asset_ID 37549
Table_34_Weight 20
Table_35_Asset_ID 37544
Table_35_Weight 20
Table_36_Asset_ID 37319
Table_36_Weight 20
Table_37_Asset_ID 37323
Table_37_Weight 20
Table_38_Asset_ID 37431
Table_38_Weight 20
Table_39_Asset_ID 37401
Table_39_Weight 20
Table_40_Asset_ID 37400
Table_40_Weight 20
Table_41_Asset_ID 37315
Table_41_Weight 20
Table_42_Asset_ID 37555
Table_42_Weight 20
Table_43_Asset_ID 37551
Table_43_Weight 20
Table_44_Asset_ID 37557
Table_44_Weight 20
Table_45_Asset_ID 37473
Table_45_Weight 20
Table_46_Asset_ID 37408
Table_46_Weight 20
Table_47_Asset_ID 37474
Table_47_Weight 20
Table_48_Asset_ID 37510
Table_48_Weight 20
Table_49_Asset_ID 37477
Table_49_Weight 20
Table_50_Asset_ID 37303
Table_50_Weight 20
Table_51_Asset_ID 37556
Table_51_Weight 20
Table_52_Asset_ID 37439
Table_52_Weight 20
Table_53_Asset_ID 37314
Table_53_Weight 20
Table_54_Asset_ID 37475
Table_54_Weight 20
Table_55_Asset_ID 37419
Table_55_Weight 20
Table_56_Asset_ID 37471
Table_56_Weight 20
Table_57_Asset_ID 37501
Table_57_Weight 20
Table_58_Asset_ID 37470
Table_58_Weight 20
Table_59_Asset_ID 37337
Table_59_Weight 20
Table_60_Asset_ID 37500
Table_60_Weight 20
Table_61_Asset_ID 37430
Table_61_Weight 20
Table_62_Asset_ID 37558
Table_62_Weight 20
Table_63_Asset_ID 37559
Table_63_Weight 20
Table_64_Asset_ID 37560
Table_64_Weight 20
Table_65_Asset_ID 37476
Table_65_Weight 20
Table_66_Asset_ID 37429
Table_66_Weight 20
Table_67_Asset_ID 37505
Table_67_Weight 20
Table_68_Asset_ID 37427
Table_68_Weight 20
Table_69_Asset_ID 37503
Table_69_Weight 20
Table_70_Asset_ID 37504
Table_70_Weight 20
Table_71_Asset_ID 37511
Table_71_Weight 20
Table_72_Asset_ID 37502
Table_72_Weight 20
Table_73_Asset_ID 37351
Table_73_Weight 20
Table_74_Asset_ID 37352
Table_74_Weight 15
Table_75_Asset_ID 37336
Table_75_Weight 10
Table_76_Asset_ID 37324
Table_76_Weight 10
Table_77_Asset_ID 37420
Table_77_Weight 10
Table_78_Asset_ID 37345
Table_78_Weight 10
Table_79_Asset_ID 37428
Table_79_Weight 10
Table_80_Asset_ID 37325
Table_80_Weight 10
Table_81_Asset_ID 37313
Table_81_Weight 10
Table_82_Asset_ID 37434
Table_82_Weight 10
Table_83_Asset_ID 37312
Table_83_Weight 10
Table_84_Asset_ID 37311
Table_84_Weight 10
Table_85_Asset_ID 37304
Table_85_Weight 10
Table_86_Asset_ID 37342
Table_86_Weight 10
Table_87_Asset_ID 37334
Table_87_Weight 10
Table_88_Asset_ID 37472
Table_88_Weight 10
Table_89_Asset_ID 37305
Table_89_Weight 10
Table_90_Asset_ID 37341
Table_90_Weight 10
Table_91_Asset_ID 37417
Table_91_Weight 10
Table_92_Asset_ID 37418
Table_92_Weight 10
Table_93_Asset_ID 37404
Table_93_Weight 10
Table_94_Asset_ID 37422
Table_94_Weight 10
Table_95_Asset_ID 37340
Table_95_Weight 10
Table_96_Asset_ID 37424
Table_96_Weight 10
Table_97_Asset_ID 37423
Table_97_Weight 10
Table_98_Asset_ID 37335
Table_98_Weight 10
Table_99_Asset_ID 37355
Table_99_Weight 10
Table_100_Asset_ID 37309
Table_100_Weight 10
Table_101_Asset_ID 37421
Table_101_Weight 10
Table_102_Asset_ID 37327
Table_102_Weight 10
Table_103_Asset_ID 37331
Table_103_Weight 10
Table_104_Asset_ID 37412
Table_104_Weight 10
Table_105_Asset_ID 37411
Table_105_Weight 10
Table_106_Asset_ID 37329
Table_106_Weight 10
Table_107_Asset_ID 37353
Table_107_Weight 10
Table_108_Asset_ID 37405
Table_108_Weight 10
Table_109_Asset_ID 37320
Table_109_Weight 10
Table_110_Asset_ID 37354
Table_110_Weight 10
Table_111_Asset_ID 37416
Table_111_Weight 10
Table_112_Asset_ID 37330
Table_112_Weight 10
Table_113_Asset_ID 37310
Table_113_Weight 10
Table_114_Asset_ID 37343
Table_114_Weight 10
Table_115_Asset_ID 37332
Table_115_Weight 10
Table_116_Asset_ID 37339
Table_116_Weight 10
Table_117_Asset_ID 37326
Table_117_Weight 10
Table_118_Asset_ID 37344
Table_118_Weight 10
Table_119_Asset_ID 37306
Table_119_Weight 10
Table_120_Asset_ID 37414
Table_120_Weight 10
Table_121_Asset_ID 37403
Table_121_Weight 10
Table_122_Asset_ID 37413
Table_122_Weight 10
Table_123_Asset_ID 37410
Table_123_Weight 10
Table_124_Asset_ID 37338
Table_124_Weight 10
Table_125_Asset_ID 37318
Table_125_Weight 10
Table_126_Asset_ID 37316
Table_126_Weight 10
Table_127_Asset_ID 37347
Table_127_Weight 10
Table_128_Asset_ID 37307
Table_128_Weight 10
Table_129_Asset_ID 37322
Table_129_Weight 10
